event,layer,phi,tbin,adc,zelem,x,y,z,plot_x,plot_y,plot_z
6,7,-2.98284,810,46.4935,0,-30.9859,-4.96076,237.94,810,-6.91198,-1.10659
6,7,-2.97727,438,11.1093,0,-30.9578,-5.13328,80.212,438,-6.90571,-1.14507
6,7,-2.97727,567,226.097,0,-30.9578,-5.13328,134.908,567,-6.90571,-1.14507
6,7,-2.97727,568,149.22,0,-30.9578,-5.13328,135.332,568,-6.90571,-1.14507
6,7,-2.97727,569,17.8612,0,-30.9578,-5.13328,135.756,569,-6.90571,-1.14507
6,7,-2.97727,807,38.1442,0,-30.9578,-5.13328,236.668,807,-6.90571,-1.14507
6,7,-2.97727,808,123.654,0,-30.9578,-5.13328,237.092,808,-6.90571,-1.14507
6,7,-2.97727,809,86.2821,0,-30.9578,-5.13328,237.516,809,-6.90571,-1.14507
6,7,-2.97727,810,28.175,0,-30.9578,-5.13328,237.94,810,-6.90571,-1.14507
6,7,-2.9717,437,13.9861,0,-30.9287,-5.30564,79.788,437,-6.89922,-1.18352
6,7,-2.9717,438,34.182,0,-30.9287,-5.30564,80.212,438,-6.89922,-1.18352
6,7,-2.9717,439,16.6318,0,-30.9287,-5.30564,80.636,439,-6.89922,-1.18352
6,7,-2.9717,567,353.139,0,-30.9287,-5.30564,134.908,567,-6.89922,-1.18352
6,7,-2.9717,568,360.018,0,-30.9287,-5.30564,135.332,568,-6.89922,-1.18352
6,7,-2.9717,569,47.3437,0,-30.9287,-5.30564,135.756,569,-6.89922,-1.18352
6,7,-2.96613,438,17.0155,0,-30.8987,-5.47784,80.212,438,-6.89252,-1.22193
6,7,-2.96613,567,106.986,0,-30.8987,-5.47784,134.908,567,-6.89252,-1.22193
6,7,-2.96613,568,123.472,0,-30.8987,-5.47784,135.332,568,-6.89252,-1.22193
6,7,-2.96613,569,15.9885,0,-30.8987,-5.47784,135.756,569,-6.89252,-1.22193
6,7,-2.96056,769,29.0971,0,-30.8677,-5.64987,220.556,769,-6.88561,-1.26031
6,7,-2.96056,770,16.4877,0,-30.8677,-5.64987,220.98,770,-6.88561,-1.26031
6,7,-2.95499,768,35,0,-30.8357,-5.82172,220.132,768,-6.87848,-1.29864
6,7,-2.95499,769,77.4855,0,-30.8357,-5.82172,220.556,769,-6.87848,-1.29864
6,7,-2.95499,770,33.4956,0,-30.8357,-5.82172,220.98,770,-6.87848,-1.29864
6,7,-2.94942,768,29.0555,0,-30.8028,-5.99339,220.132,768,-6.87114,-1.33694
6,7,-2.94942,769,40.4511,0,-30.8028,-5.99339,220.556,769,-6.87114,-1.33694
6,7,-2.94942,770,24.9521,0,-30.8028,-5.99339,220.98,770,-6.87114,-1.33694
6,7,-2.94385,768,81.0277,0,-30.769,-6.16487,220.132,768,-6.86359,-1.37519
6,7,-2.94385,769,411.148,0,-30.769,-6.16487,220.556,769,-6.86359,-1.37519
6,7,-2.94385,770,414.698,0,-30.769,-6.16487,220.98,770,-6.86359,-1.37519
6,7,-2.94385,771,77.558,0,-30.769,-6.16487,221.404,771,-6.86359,-1.37519
6,7,-2.94385,772,16.0951,0,-30.769,-6.16487,221.828,772,-6.86359,-1.37519
6,7,-2.93828,769,75.0799,0,-30.7342,-6.33616,220.556,769,-6.85582,-1.4134
6,7,-2.93828,770,69.1106,0,-30.7342,-6.33616,220.98,770,-6.85582,-1.4134
6,7,-2.93271,769,21.0433,0,-30.6984,-6.50726,220.556,769,-6.84784,-1.45156
6,7,-2.93271,770,15.3294,0,-30.6984,-6.50726,220.98,770,-6.84784,-1.45156
6,7,-2.93271,910,13.0107,0,-30.6984,-6.50726,280.34,910,-6.84784,-1.45156
6,7,-2.93271,911,15.1898,0,-30.6984,-6.50726,280.764,911,-6.84784,-1.45156
6,7,-2.92714,907,13,0,-30.6617,-6.67815,279.068,907,-6.83965,-1.48969
6,7,-2.92714,908,26.1803,0,-30.6617,-6.67815,279.492,908,-6.83965,-1.48969
6,7,-2.92714,910,77.5546,0,-30.6617,-6.67815,280.34,910,-6.83965,-1.48969
6,7,-2.92714,911,115.556,0,-30.6617,-6.67815,280.764,911,-6.83965,-1.48969
6,7,-2.92714,912,24.952,0,-30.6617,-6.67815,281.188,912,-6.83965,-1.48969
6,7,-2.92157,858,17.0816,0,-30.624,-6.84884,258.292,858,-6.83125,-1.52776
6,7,-2.92157,907,20.0006,0,-30.624,-6.84884,279.068,907,-6.83125,-1.52776
6,7,-2.92157,908,49.2779,0,-30.624,-6.84884,279.492,908,-6.83125,-1.52776
6,7,-2.92157,910,15.9251,0,-30.624,-6.84884,280.34,910,-6.83125,-1.52776
6,7,-2.92157,911,32.0228,0,-30.624,-6.84884,280.764,911,-6.83125,-1.52776
6,7,-2.916,857,48.0433,0,-30.5854,-7.01932,257.868,857,-6.82263,-1.56579
6,7,-2.916,858,206.704,0,-30.5854,-7.01932,258.292,858,-6.82263,-1.56579
6,7,-2.916,859,110.477,0,-30.5854,-7.01932,258.716,859,-6.82263,-1.56579
6,7,-2.916,860,20.5466,0,-30.5854,-7.01932,259.14,860,-6.82263,-1.56579
6,7,-2.916,907,43.0064,0,-30.5854,-7.01932,279.068,907,-6.82263,-1.56579
6,7,-2.916,908,270.602,0,-30.5854,-7.01932,279.492,908,-6.82263,-1.56579
6,7,-2.916,909,71.2752,0,-30.5854,-7.01932,279.916,909,-6.82263,-1.56579
6,7,-2.916,910,16.6946,0,-30.5854,-7.01932,280.34,910,-6.82263,-1.56579
6,7,-2.916,911,35.3012,0,-30.5854,-7.01932,280.764,911,-6.82263,-1.56579
6,7,-2.916,912,13.2183,0,-30.5854,-7.01932,281.188,912,-6.82263,-1.56579
6,7,-2.91043,856,43.0277,0,-30.5458,-7.18958,257.444,856,-6.8138,-1.60377
6,7,-2.91043,857,44.6208,0,-30.5458,-7.18958,257.868,857,-6.8138,-1.60377
6,7,-2.91043,858,62.1571,0,-30.5458,-7.18958,258.292,858,-6.8138,-1.60377
6,7,-2.91043,859,76.8652,0,-30.5458,-7.18958,258.716,859,-6.8138,-1.60377
6,7,-2.91043,860,17.683,0,-30.5458,-7.18958,259.14,860,-6.8138,-1.60377
6,7,-2.91043,907,11.004,0,-30.5458,-7.18958,279.068,907,-6.8138,-1.60377
6,7,-2.91043,908,171.156,0,-30.5458,-7.18958,279.492,908,-6.8138,-1.60377
6,7,-2.91043,909,72.5092,0,-30.5458,-7.18958,279.916,909,-6.8138,-1.60377
6,7,-2.90486,856,184.125,0,-30.5053,-7.35961,257.444,856,-6.80477,-1.6417
6,7,-2.90486,857,232.662,0,-30.5053,-7.35961,257.868,857,-6.80477,-1.6417
6,7,-2.90486,858,70.5347,0,-30.5053,-7.35961,258.292,858,-6.80477,-1.6417
6,7,-2.90486,859,44.7762,0,-30.5053,-7.35961,258.716,859,-6.80477,-1.6417
6,7,-2.90486,860,14.6283,0,-30.5053,-7.35961,259.14,860,-6.80477,-1.6417
6,7,-2.90486,908,103.021,0,-30.5053,-7.35961,279.492,908,-6.80477,-1.6417
6,7,-2.90486,909,60.4468,0,-30.5053,-7.35961,279.916,909,-6.80477,-1.6417
6,7,-2.89372,526,20.9861,0,-30.4214,-7.69898,117.524,526,-6.78605,-1.7174
6,7,-2.89372,527,114.279,0,-30.4214,-7.69898,117.948,527,-6.78605,-1.7174
6,7,-2.89372,528,83.827,0,-30.4214,-7.69898,118.372,528,-6.78605,-1.7174
6,7,-2.89372,529,28.7464,0,-30.4214,-7.69898,118.796,529,-6.78605,-1.7174
6,7,-2.89372,530,11.7795,0,-30.4214,-7.69898,119.22,530,-6.78605,-1.7174
6,7,-2.89372,772,18,0,-30.4214,-7.69898,221.828,772,-6.78605,-1.7174
6,7,-2.89372,857,20.0139,0,-30.4214,-7.69898,257.868,857,-6.78605,-1.7174
6,7,-2.89372,858,19.2896,0,-30.4214,-7.69898,258.292,858,-6.78605,-1.7174
6,7,-2.88815,527,50.1265,0,-30.378,-7.86832,117.948,527,-6.77638,-1.75517
6,7,-2.88815,528,45.8049,0,-30.378,-7.86832,118.372,528,-6.77638,-1.75517
6,7,-2.88815,529,29.3331,0,-30.378,-7.86832,118.796,529,-6.77638,-1.75517
6,7,-2.88815,530,14.5625,0,-30.378,-7.86832,119.22,530,-6.77638,-1.75517
6,7,-2.87144,344,68.0416,0,-30.2423,-8.37483,40.356,344,-6.74611,-1.86816
6,7,-2.87144,345,52.9798,0,-30.2423,-8.37483,40.78,345,-6.74611,-1.86816
6,7,-2.87144,346,12.5842,0,-30.2423,-8.37483,41.204,346,-6.74611,-1.86816
6,7,-2.85473,344,77.0555,0,-30.0982,-8.87901,40.356,344,-6.71395,-1.98063
6,7,-2.85473,345,140.117,0,-30.0982,-8.87901,40.78,345,-6.71395,-1.98063
6,7,-2.85473,346,89.9116,0,-30.0982,-8.87901,41.204,346,-6.71395,-1.98063
6,7,-2.85473,347,19.7711,0,-30.0982,-8.87901,41.628,347,-6.71395,-1.98063
6,7,-2.84916,344,63.0416,0,-30.0482,-9.04652,40.356,344,-6.70281,-2.01799
6,7,-2.84916,345,247.91,0,-30.0482,-9.04652,40.78,345,-6.70281,-2.01799
6,7,-2.84916,346,363.228,0,-30.0482,-9.04652,41.204,346,-6.70281,-2.01799
6,7,-2.84916,347,85.703,0,-30.0482,-9.04652,41.628,347,-6.70281,-2.01799
6,7,-2.84916,348,14.7331,0,-30.0482,-9.04652,42.052,348,-6.70281,-2.01799
6,7,-2.84359,345,221.043,0,-29.9974,-9.21375,40.78,345,-6.69147,-2.0553
6,7,-2.84359,346,589.103,0,-29.9974,-9.21375,41.204,346,-6.69147,-2.0553
6,7,-2.84359,347,214.861,0,-29.9974,-9.21375,41.628,347,-6.69147,-2.0553
6,7,-2.84359,348,38.3954,0,-29.9974,-9.21375,42.052,348,-6.69147,-2.0553
6,7,-2.84359,349,12.2779,0,-29.9974,-9.21375,42.476,349,-6.69147,-2.0553
6,7,-2.83802,345,16.9861,0,-29.9456,-9.3807,40.78,345,-6.67992,-2.09254
6,7,-2.83802,346,67.2236,0,-29.9456,-9.3807,41.204,346,-6.67992,-2.09254
6,7,-2.83802,347,58.1262,0,-29.9456,-9.3807,41.628,347,-6.67992,-2.09254
6,7,-2.83802,348,12.7825,0,-29.9456,-9.3807,42.052,348,-6.67992,-2.09254
6,7,-2.77117,349,12.0139,0,-29.2522,-11.3599,42.476,349,-6.52523,-2.53403
6,7,-2.77117,350,94.1787,0,-29.2522,-11.3599,42.9,350,-6.52523,-2.53403
6,7,-2.77117,351,152.461,0,-29.2522,-11.3599,43.324,351,-6.52523,-2.53403
6,7,-2.77117,352,66.3813,0,-29.2522,-11.3599,43.748,352,-6.52523,-2.53403
6,7,-2.77117,530,20,0,-29.2522,-11.3599,119.22,530,-6.52523,-2.53403
6,7,-2.77117,531,13,0,-29.2522,-11.3599,119.644,531,-6.52523,-2.53403
6,7,-2.7656,161,13.0139,0,-29.1884,-11.5227,-37.236,161,-6.51102,-2.57034
6,7,-2.7656,162,20.1925,0,-29.1884,-11.5227,-36.812,162,-6.51102,-2.57034
6,7,-2.7656,350,15.0122,0,-29.1884,-11.5227,42.9,350,-6.51102,-2.57034
6,7,-2.7656,351,73.2188,0,-29.1884,-11.5227,43.324,351,-6.51102,-2.57034
6,7,-2.7656,352,38.2052,0,-29.1884,-11.5227,43.748,352,-6.51102,-2.57034
6,7,-2.7656,530,15,0,-29.1884,-11.5227,119.22,530,-6.51102,-2.57034
6,7,-2.7656,531,19,0,-29.1884,-11.5227,119.644,531,-6.51102,-2.57034
6,7,-2.76003,10,38.0679,0,-29.1238,-11.6851,-101.26,10,-6.4966,-2.60657
6,7,-2.76003,11,22.5869,0,-29.1238,-11.6851,-100.836,11,-6.4966,-2.60657
6,7,-2.76003,161,117.014,0,-29.1238,-11.6851,-37.236,161,-6.4966,-2.60657
6,7,-2.76003,162,189.635,0,-29.1238,-11.6851,-36.812,162,-6.4966,-2.60657
6,7,-2.76003,163,40.0476,0,-29.1238,-11.6851,-36.388,163,-6.4966,-2.60657
